Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales
12271,Ship Simulator 2008,PC,2007,Simulation,Lighthouse Interactive,0,0.01,0,0
12272,Ship Simulator Extremes,PC,2010,Simulation,Paradox Interactive,0,0.04,0,0.01
12273,Shippuu Mahou Daisakusen: Kingdom-Grandprix,SAT,1996,Shooter,Gaga,0,0,0.02,0
12274,Shirahana no Ori: Hiiro no Kakera 4 - Shiki no Uta,PSP,2013,Adventure,Idea Factory,0,0,0.01,0
12275,Shiratsuyu no Kai,PSP,2013,Adventure,Idea Factory,0,0,0.02,0
12276,Shiren the Wanderer,Wii,2008,Role-Playing,Sega,0.08,0,0.11,0.01
12277,Shiren the Wanderer 4 - God's Eye and the Demon's Navel,DS,2010,Role-Playing,Spike,0,0,0.13,0
12278,Shiren the Wanderer 4 - God's Eye and the Demon's Navel,PSP,2012,Role-Playing,Spike,0,0,0.04,0
12279,Shiren the Wanderer 5 Plus: Fortune Tower and the Dice of Fate,PSV,2015,Action,Aksys Games,0.01,0,0.04,0
12280,Shirogane no Soleil: Contract to the Future - Mirai e no Keiyaku,PS2,2008,Adventure,Russel,0,0,0.01,0
12281,Shitsuji ga Aruji o Erabu Toki,PSV,2016,Adventure,Unknown,0,0,0.01,0
12282,Shockwave Assault,PS,1995,Simulation,Electronic Arts,0.05,0.04,0,0.01
12283,Shonen Jump's One Piece: Grand Adventure,GC,2006,Fighting,Namco Bandai Games,0.03,0.01,0,0
12284,Shonen Jump's One Piece: Grand Adventure,PS2,2005,Fighting,Namco Bandai Games,0.01,0.01,0,0
12285,Shonen Jump's One Piece: Grand Battle,PS2,2005,Fighting,Atari,0.07,0.05,0,0.02
12286,Shonen Jump's One Piece: Grand Battle,GC,2005,Fighting,Namco Bandai Games,0.05,0.01,0,0
12287,Shonen Jump's One Piece: Pirates Carnival,GC,2005,Misc,Namco Bandai Games,0.06,0.02,0,0
12288,Shonen Jump's Shaman King: Legacy of the Spirits - Soaring Hawk/Sprinting Wolf,GBA,2005,Action,Konami Digital Entertainment,0.04,0.02,0,0
12289,Shonen Jump's Shaman King: Master of Spirits,GBA,2004,Role-Playing,Konami Digital Entertainment,0.1,0.04,0,0
12290,Shonen Jump's Shaman King: Master of Spirits 2,GBA,2005,Role-Playing,Konami Digital Entertainment,0.01,0.01,0,0
12291,Shonen Jump's Yu-Gi-Oh! GX Card Almanac,DS,N/A,Misc,Konami Digital Entertainment,0,0,0.02,0
12292,Shooter: Starfighter Sanvein,PS,2000,Shooter,Midas Interactive Entertainment,0.01,0.01,0,0
12293,Short Track Racing: Trading Paint,PS2,2009,Racing,THQ,0.02,0.02,0,0.01
12294,Shorts,DS,N/A,Platform,Unknown,0.01,0,0,0
12295,Shounen Onmyouji: Tsubasa Yoima. Ten e Kaere,PS2,2007,Adventure,Kadokawa Shoten,0,0,0.02,0
12296,Shounen Sunday x Shounen Magazine: Nettou! Dream Nine,DS,2009,Sports,Konami Digital Entertainment,0,0,0.07,0
12297,Shovel Knight,3DS,2015,Platform,Yacht Club Games,0.07,0.04,0.01,0.01
12298,Shovel Knight,WiiU,2015,Platform,Yacht Club Games,0.06,0.04,0,0.01
12299,Shovel Knight,PS4,2015,Platform,Yacht Club Games,0.03,0.03,0,0.01
12300,Showdown: Legends of Wrestling,PS2,2004,Fighting,Acclaim Entertainment,0.15,0.11,0,0.04
12301,Showdown: Legends of Wrestling,XB,2004,Fighting,Acclaim Entertainment,0.09,0.03,0,0
12302,Showtime Championship Boxing,Wii,2007,Fighting,Zoo Digital Publishing,0.06,0,0,0.01
12303,Showtime Championship Boxing,DS,2007,Fighting,Zoo Digital Publishing,0.06,0,0,0
12304,Shox,PS2,2002,Racing,Electronic Arts,0.05,0.04,0,0.01
12305,Shrek,XB,2001,Platform,TDK Mediactive,0.25,0.1,0,0.01
12306,Shrek / Shark Tale Game Boy Advance Video,GBA,2006,Misc,Hasbro Interactive,0.01,0,0,0
12307,Shrek / Shrek 2 2-in-1 Gameboy Advance Video,GBA,2007,Misc,N/A,0.87,0.32,0,0.02
12308,Shrek 2,PS2,2004,Platform,Activision,1.12,0.69,0.03,0.02
12309,Shrek 2,GC,2004,Platform,Activision,0.73,0.26,0.01,0.03
